episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
120,1.0,0.6288603435434936,-0.38811677557436164,176.00490055721383,-30.0,1.0035654361535125,[-30.0 1.0035654361535125],0.0,False,True,0.18245069126926838,1,76.74646745889785,488.694,prepare,0.0
120,2.0,0.6288671467069984,-0.38815239306250576,176.01075052575598,-15.44480245089204,1.6525373239067402,[-15.44480245089204 1.6525373239067402],60.0,False,True,0.182437462157164,1,76.74646745889785,488.758,in_progress,0.0
120,3.0,0.6231143160205533,-0.3860558231050839,175.61331897549567,-2.25913428238119,1.5461547936251399,[-2.25913428238119 1.5461547936251399],80.0,False,True,0.19015878900552743,1,76.74646745889785,488.824,in_progress,0.0
120,4.0,0.6000488491457118,-0.38275189716741626,175.23978761048633,12.102685334088207,1.276715579710149,[12.102685334088207 1.276715579710149],60.0,False,True,0.22048581435795797,1,76.74646745889785,488.892,in_progress,0.0
120,5.0,0.5681728588680792,-0.38305252814353113,175.9401003592939,-8.90862947198292,2.06596249197689,[-8.90862947198292 2.06596249197689],40.0,False,True,0.26179529580588784,2,76.74646745889785,488.955,in_progress,0.0
120,6.0,0.5146108345456073,-0.37624075128703455,175.23018846911845,30.0,2.5,[30.0 2.5],60.0,False,True,0.33211350540337475,2,76.74646745889785,489.012,in_progress,0.0
120,7.0,0.44817449236728435,-0.37167959804327805,175.60554942381654,11.344376605424834,1.0365147229382063,[11.344376605424834 1.0365147229382063],40.0,False,True,0.4188527938113709,2,76.74646745889785,489.047,in_progress,0.0
120,8.0,0.375901932538961,-0.3800947121575876,178.6778378247991,0.9439523216385979,1.709205366378568,[0.9439523216385979 1.709205366378568],40.0,False,True,0.511557577931365,3,76.74646745889785,489.159,in_progress,0.0
120,9.0,0.29790138958264567,-0.3811523853614002,179.24757215691153,-30.0,2.5,[-30.0 2.5],40.0,False,True,0.6116115588984159,3,76.74646745889785,489.221,in_progress,0.0
120,10.0,0.19732771879611624,-0.3671022312192555,176.4553139355725,-15.514966248721665,1.969437298086304,[-15.514966248721665 1.969437298086304],40.0,False,True,0.743918312713591,3,76.74646745889785,489.293,in_progress,0.0
120,11.0,0.10555126326912798,-0.3358686639381521,170.93220678038682,-22.920817773877324,2.5,[-22.920817773877324 2.5],40.0,False,True,0.8676449271412683,4,76.74646745889785,489.351,in_progress,0.0
120,12.0,0.0015327535147357796,-0.2828307883839848,163.14830811839045,-30.0,1.5373228733426803,[-30.0 1.5373228733426803],80.0,False,True,1.010998308487203,4,76.74646745889785,489.409,in_progress,0.0
120,13.0,-0.09263705172203598,-0.2196297933132256,155.96466411360694,0.8341082968348275,0.7,[0.8341082968348275 0.7],60.0,False,True,1.1433904150759562,4,76.74646745889785,489.496,in_progress,0.0
120,14.0,-0.1822040484276034,-0.16089779713703278,151.89211059275024,-30.0,1.209343408572197,[-30.0 1.209343408572197],60.0,False,True,1.2690770690629984,5,76.74646745889785,489.55,in_progress,0.0
120,15.0,-0.257149075672346,-0.11453201892881391,150.65929173152747,30.0,1.8723998994906628,[30.0 1.8723998994906628],60.0,False,True,1.3722613749222483,5,76.74646745889785,489.618,in_progress,0.0
120,16.0,-0.33293909217508166,-0.06268903142698003,148.97568635864235,-29.314188617390002,0.9774126735605079,[-29.314188617390002 0.9774126735605079],60.0,False,True,1.4786026435659234,5,76.74646745889785,489.693,in_progress,0.0
120,17.0,-0.4184430827239482,-0.018544963057239877,150.3014959168228,9.857445975599425,2.189601944554703,[9.857445975599425 2.189601944554703],60.0,False,True,1.5962651317528034,6,76.74646745889785,489.755,in_progress,0.0
120,18.0,-0.497954875528647,0.024036013880180986,151.00659616602522,30.0,1.3483866340756407,[30.0 1.3483866340756407],60.0,False,True,1.705928058146779,6,76.74646745889785,489.819,in_progress,0.0
120,19.0,-0.5872246047304192,0.05425259127794615,154.569025636507,30.0,0.7,[30.0 0.7],60.0,False,True,1.8226828829807635,6,76.74646745889785,489.888,in_progress,0.0
120,20.0,-0.6767246872897856,0.07101281355646062,159.88816647319933,23.496478588134323,0.7,[23.496478588134323 0.7],60.0,False,True,1.9410332386689912,7,76.74646745889785,489.954,in_progress,0.0
120,21.0,-0.7580313330717477,0.08127480703327125,163.88356177653762,30.0,1.052264650222952,[30.0 1.052264650222952],60.0,False,True,2.0478092288406637,7,76.74646745889785,490.01,in_progress,0.0
120,22.0,-0.8399804565206861,0.08208664504352904,168.6662249607107,28.599394474324995,2.2561209706588894,[28.599394474324995 2.2561209706588894],60.0,False,True,2.151767054247225,7,76.74646745889785,490.094,in_progress,0.0
120,23.0,-0.9141772537798326,0.07060810490234075,174.52630534402613,30.0,0.7,[30.0 0.7],60.0,False,True,2.246249827780204,7,76.74646745889785,490.163,in_progress,0.0
120,24.0,-0.9964127933871776,0.040626139489069235,-176.37624523113433,-7.856099669785419,0.7,[-7.856099669785419 0.7],60.0,False,True,2.348527768266424,8,76.74646745889785,490.211,in_progress,0.0
120,25.0,-1.0547887224987156,0.013964680143592829,-170.04556032921798,15.474352473425554,2.4312765428632446,[15.474352473425554 2.4312765428632446],60.0,False,True,2.4203702648017265,8,76.74646745889785,490.289,in_progress,0.0
120,26.0,-1.121963792350359,-0.01710111434944975,-165.75581264429488,-30.0,2.5,[-30.0 2.5],60.0,False,True,2.5029872068639754,8,76.74646745889785,490.354,in_progress,0.0
120,27.0,-1.1944573971246222,-0.05041922720040013,-162.4293551329241,12.305939526684512,1.0688313253259134,[12.305939526684512 1.0688313253259134],60.0,False,True,2.5905699774170685,8,76.74646745889785,490.42,in_progress,0.0
120,28.0,-1.275194368316678,-0.07685140975725702,-162.24052147516994,-30.0,1.1092828764965452,[-30.0 1.1092828764965452],60.0,False,True,2.691857707711322,8,76.74646745889785,490.495,in_progress,0.0
120,29.0,-1.3503739781735284,-0.10439011922159547,-161.51473345985104,-17.74495834480365,0.7,[-17.74495834480365 0.7],60.0,False,True,2.785797312982108,9,76.74646745889785,490.553,in_progress,0.0
120,30.0,-1.4248883169013897,-0.11474552595271814,-164.6366169030853,-30.0,1.9779043362311508,[-30.0 1.9779043362311508],60.0,False,True,2.8810836102237736,9,76.74646745889785,490.616,in_progress,0.0
120,31.0,-1.4894163688762063,-0.11524283854313574,-168.42296627956983,-30.0,2.3265984655724528,[-30.0 2.3265984655724528],60.0,False,True,2.9642277527731955,9,76.74646745889785,490.673,in_progress,0.0
120,32.0,-1.585017788637841,-0.0959021088241532,-176.7648033036472,-14.377952449026862,2.4912867500134315,[-14.377952449026862 2.4912867500134315],60.0,False,True,3.090518970385772,9,76.74646745889785,490.755,in_progress,0.0
120,33.0,-1.6702477144056407,-0.07060872821984097,176.55228441656266,-30.0,1.7130684924894877,[-30.0 1.7130684924894877],60.0,False,True,3.2040242688139613,10,76.74646745889785,490.819,in_progress,0.0
120,34.0,-1.768674868046177,-0.03144257679920638,169.43461204094874,-8.403326669570916,1.4853852552454918,[-8.403326669570916 1.4853852552454918],80.0,False,True,3.334532678212708,10,76.74646745889785,490.89,in_progress,0.0
120,35.0,-1.8808027061416863,0.01931030334957384,163.48763881231125,28.081860683234154,2.5,[28.081860683234154 2.5],60.0,False,True,3.4850599651312923,10,76.74646745889785,490.948,in_progress,0.0
120,36.0,-1.9948125238269048,0.0586860680111614,162.53171554277444,2.4856583173301274,1.715332674375666,[2.4856583173301274 1.715332674375666],60.0,False,True,3.6369540044388837,11,76.74646745889785,491.039,in_progress,0.0
120,37.0,-2.0972684598356985,0.07891390236821011,164.96777284553346,28.472258690898776,2.5,[28.472258690898776 2.5],60.0,False,True,3.7664676943454407,11,76.74646745889785,491.094,in_progress,0.0
120,38.0,-2.2114163347012488,0.08991482980457677,168.99808885218627,-10.969876196281074,1.528769431320812,[-10.969876196281074 1.528769431320812],80.0,False,True,3.915723620850939,12,76.74646745889785,491.159,in_progress,0.0
120,39.0,-2.334325973258318,0.09417064718491606,173.04622925453643,30.0,1.5931253400278558,[30.0 1.5931253400278558],80.0,False,True,4.075953675526573,12,76.74646745889785,491.23,in_progress,0.0
