episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
140,1.0,0.6286413239919475,-0.3880416181830773,176.00743372889372,30.0,1.3578291970295355,[30.0 1.3578291970295355],0.0,False,True,0.18274407806710782,1,76.74646745889785,618.687,prepare,0.0
140,2.0,0.6288889807059561,-0.38810763095414025,175.99880181101904,16.13351378207782,2.3107320158449616,[16.13351378207782 2.3107320158449616],40.0,False,True,0.1824146766012988,1,76.74646745889785,618.751,in_progress,0.0
140,3.0,0.6199244084436253,-0.3861580960014875,175.5280297538195,30.0,1.4975210495111149,[30.0 1.4975210495111149],80.0,False,True,0.19428380171570736,1,76.74646745889785,618.822,in_progress,0.0
140,4.0,0.5976816703847935,-0.391686562561976,177.26217001288293,23.59023801575107,2.2214673293447897,[23.59023801575107 2.2214673293447897],40.0,False,True,0.22245139334122344,1,76.74646745889785,618.891,in_progress,0.0
140,5.0,0.5604205070689615,-0.4054348099712263,-179.06920858699863,-0.5452797353571128,0.7467858512971944,[-0.5452797353571128 0.7467858512971944],40.0,False,True,0.26908302639776616,2,76.74646745889785,618.959,in_progress,0.0
140,6.0,0.5085637098973028,-0.4149691661535,-177.04464558088935,-30.0,1.879280335963121,[-30.0 1.879280335963121],40.0,False,True,0.3351679129485955,2,76.74646745889785,619.019,in_progress,0.0
140,7.0,0.45724959293971196,-0.4127148747257426,-178.26984535545304,-30.0,1.8541411839282218,[-30.0 1.8541411839282218],40.0,False,True,0.4020067351983725,2,76.74646745889785,619.093,in_progress,0.0
140,8.0,0.39303763202474234,-0.3909805798653398,176.33104832107088,-29.294270329878753,0.9799555452462994,[-29.294270329878753 0.9799555452462994],40.0,False,True,0.4879844856972322,3,76.74646745889785,619.151,in_progress,0.0
140,9.0,0.33282661234219724,-0.3577276391757039,169.6063075038134,28.66394909738346,2.5,[28.66394909738346 2.5],60.0,False,True,0.5702672505935389,3,76.74646745889785,619.208,in_progress,0.0
140,10.0,0.25487298461848207,-0.3200479054559252,164.85686435653915,-30.0,2.5,[-30.0 2.5],60.0,False,True,0.6771712947962706,3,76.74646745889785,619.294,in_progress,0.0
140,11.0,0.18428384897679737,-0.29146252364905084,162.36929724941396,15.866028010002616,2.3249799400341367,[15.866028010002616 2.3249799400341367],60.0,False,True,0.7730762115680858,4,76.74646745889785,619.354,in_progress,0.0
140,12.0,0.06305494859394448,-0.24043084262352635,160.21674692716678,28.79905449582663,1.2854057400264756,[28.79905449582663 1.2854057400264756],60.0,False,True,0.9380973685520296,4,76.74646745889785,619.428,in_progress,0.0
140,13.0,0.0034500604513992006,-0.2257372522510309,161.5298775356801,-4.149461529406771,1.9842791304329548,[-4.149461529406771 1.9842791304329548],60.0,False,True,1.0182208824502645,4,76.74646745889785,619.493,in_progress,0.0
140,14.0,-0.09863636525381958,-0.19461947573308822,161.95641829345814,-30.0,0.7,[-30.0 0.7],60.0,False,True,1.1553896841341291,5,76.74646745889785,619.557,in_progress,0.0
140,15.0,-0.18506476089170115,-0.15518048428030323,159.54767751824082,30.0,0.7,[30.0 0.7],60.0,False,True,1.2737440349966247,5,76.74646745889785,619.625,in_progress,0.0
140,16.0,-0.26004992602194144,-0.1176960300056242,157.60847371365236,3.7241356260643954,2.5,[3.7241356260643954 2.5],60.0,False,True,1.3755029907922398,5,76.74646745889785,619.691,in_progress,0.0
140,17.0,-0.3503881023777369,-0.0840275363028467,158.27394430287768,-13.290857017417721,1.501471318142151,[-13.290857017417721 1.501471318142151],80.0,False,True,1.4977301836025199,5,76.74646745889785,619.753,in_progress,0.0
140,18.0,-0.43997820691564,-0.04979527607222514,158.69419983104268,-23.612416664395557,0.7210695703608376,[-23.612416664395557 0.7210695703608376],60.0,False,True,1.6190808431999455,6,76.74646745889785,619.819,in_progress,0.0
140,19.0,-0.526613803010795,-0.008385703120497606,157.3050275288493,30.0,2.0590945935182567,[30.0 2.0590945935182567],60.0,False,True,1.7377664166703852,6,76.74646745889785,619.895,in_progress,0.0
140,20.0,-0.6062214469159829,0.021896915104947606,158.15106635090598,30.0,1.2374406892054706,[30.0 1.2374406892054706],60.0,False,True,1.8424511097615295,6,76.74646745889785,619.955,in_progress,0.0
140,21.0,-0.6957944637688075,0.042117499367546433,161.26599079795926,30.0,1.390068185498666,[30.0 1.390068185498666],60.0,False,True,1.9614115818319784,7,76.74646745889785,620.008,in_progress,0.0
140,22.0,-0.7914842391315804,0.049602907754354414,166.32509156486836,30.0,0.7,[30.0 0.7],60.0,False,True,2.086391875644752,7,76.74646745889785,620.091,in_progress,0.0
140,23.0,-0.8720130709152902,0.044508589795228565,171.72647139817528,30.0,1.6970246655942864,[30.0 1.6970246655942864],80.0,False,True,2.1879431239412357,7,76.74646745889785,620.158,in_progress,0.0
140,24.0,-0.9581284866869525,0.02984543892703985,177.6836676189539,-12.553717307419532,0.7747518551347339,[-12.553717307419532 0.7747518551347339],60.0,False,True,2.297413506254757,7,76.74646745889785,620.216,in_progress,0.0
140,25.0,-1.047020827659752,0.013272167295336763,-177.67211553204513,-30.0,1.9618244774314,[-30.0 1.9618244774314],60.0,False,True,2.4102106244138604,8,76.74646745889785,620.282,in_progress,0.0
140,26.0,-1.1268318971937277,0.014418375415542762,-178.66419565469738,-25.051358051202598,0.7,[-25.051358051202598 0.7],60.0,False,True,2.5137513067201414,8,76.74646745889785,620.351,in_progress,0.0
140,27.0,-1.206895147296587,0.026656329066079967,178.20945043724578,-30.0,0.8578575428276161,[-30.0 0.8578575428276161],60.0,False,True,2.6166069846045414,8,76.74646745889785,620.418,in_progress,0.0
140,28.0,-1.2756022097713697,0.04967099260519951,173.43072201086107,22.705769961452297,1.9415346443056716,[22.705769961452297 1.9415346443056716],60.0,False,True,2.708653859328787,8,76.74646745889785,620.481,in_progress,0.0
140,29.0,-1.343500908512863,0.07085955547843521,170.51764187385697,-30.0,1.792934067598032,[-30.0 1.792934067598032],60.0,False,True,2.799417796536118,9,76.74646745889785,620.556,in_progress,0.0
140,30.0,-1.4109085519960516,0.08427384581601122,170.04416324108482,30.0,1.2179596581328362,[30.0 1.2179596581328362],60.0,False,True,2.888545456021608,9,76.74646745889785,620.625,in_progress,0.0
140,31.0,-1.5014715086965513,0.10682770047253963,168.7390268816353,30.0,2.5,[30.0 2.5],60.0,False,True,3.005114844445187,9,76.74646745889785,620.691,in_progress,0.0
140,32.0,-1.5806369395556321,0.11048525667970609,171.42205346610805,30.0,1.9640232507944608,[30.0 1.9640232507944608],60.0,False,True,3.1082892758753444,9,76.74646745889785,620.758,in_progress,0.0
140,33.0,-1.6821906154746558,0.09821454947614802,177.28574824929882,30.0,0.7,[30.0 0.7],60.0,False,True,3.2387139051892095,10,76.74646745889785,620.824,in_progress,0.0
140,34.0,-1.7774069321786108,0.0693843626306245,-175.09245315666334,30.0,1.130939452309945,[30.0 1.130939452309945],60.0,False,True,3.355442220310912,10,76.74646745889785,620.881,in_progress,0.0
140,35.0,-1.8572770028284036,0.03596146641376537,-169.22999503417714,1.3068578371293462,1.6407510220642556,[1.3068578371293462 1.6407510220642556],80.0,False,True,3.456066582025196,10,76.74646745889785,620.956,in_progress,0.0
140,36.0,-1.933967677026192,0.01029551145473151,-166.91592498972477,-4.654946309716273,2.5,[-4.654946309716273 2.5],60.0,False,True,3.553294832821367,11,76.74646745889785,621.017,in_progress,0.0
140,37.0,-2.033399462029432,-0.012242646207725718,-167.0831965803128,30.0,2.5,[30.0 2.5],60.0,False,True,3.6803725962156926,11,76.74646745889785,621.084,in_progress,0.0
140,38.0,-2.1458836691738656,-0.03820072783311058,-166.99272271195696,-25.632747308378143,1.8017710164571277,[-25.632747308378143 1.8017710164571277],60.0,False,True,3.8222925870827553,11,76.74646745889785,621.156,in_progress,0.0
140,39.0,-2.257198350052437,-0.07091471439909876,-165.42905786270586,3.1353585142508678,2.5,[3.1353585142508678 2.5],60.0,False,True,3.965082359489922,12,76.74646745889785,621.228,in_progress,0.0
140,40.0,-2.3672956293175735,-0.09654032881862087,-165.92511613732594,-21.8496130923848,1.2658314699724624,[-21.8496130923848 1.2658314699724624],40.0,False,True,4.107149589124408,12,76.74646745889785,621.28,in_progress,0.0
140,41.0,-2.496547167826029,-0.12586599778238766,-166.60504709130402,-30.0,2.474212385815238,[-30.0 2.474212385815238],40.0,False,True,4.274818236824203,12,76.74646745889785,621.35,in_progress,0.0
140,42.0,-2.599740807684305,-0.1381736876101225,-169.2187238043826,-30.0,0.7,[-30.0 0.7],40.0,False,True,4.408954821358288,13,76.74646745889785,621.429,in_progress,0.0
140,43.0,-2.7075671861184842,-0.13445169093021297,-174.62495033635267,-14.772375709320354,2.5,[-14.772375709320354 2.5],40.0,False,True,4.546613851866276,13,76.74646745889785,621.481,in_progress,0.0
140,44.0,-2.8243790311126697,-0.11873238904508351,179.7656268343819,-1.3249143168684974,0.7,[-1.3249143168684974 0.7],40.0,False,True,4.699759674683019,14,76.74646745889785,621.558,in_progress,0.0
140,45.0,-2.925650265865557,-0.10017947787184829,175.04130850472532,-9.995567042152334,2.5,[-9.995567042152334 2.5],40.0,False,True,4.832908336943358,14,76.74646745889785,621.627,in_progress,0.0
140,46.0,-3.0290531925205757,-0.07400684975754991,171.22205731758447,-5.986660237341635,1.1181418988098353,[-5.986660237341635 1.1181418988098353],40.0,False,True,4.968477284179668,14,76.74646745889785,621.689,in_progress,0.0
140,47.0,-3.129337488708274,-0.032102491729885795,165.21880122940794,17.68937587457571,0.7,[17.68937587457571 0.7],60.0,False,True,5.1040363896773275,15,76.74646745889785,621.756,in_progress,0.0
140,48.0,-3.2217166745290835,0.006886534829713173,161.88850075682203,-5.060872815599971,1.157279332698765,[-5.060872815599971 1.157279332698765],60.0,False,True,5.228961347613689,15,76.74646745889785,621.82,in_progress,0.0
140,49.0,-3.293573970116039,0.038805606050545755,159.928724249729,-7.442767105757131,0.894902285710098,[-7.442767105757131 0.894902285710098],60.0,False,True,5.327535951717211,15,76.74646745889785,621.888,in_progress,0.0
140,50.0,-3.385302607422885,0.09294230771507395,155.79543611762878,11.47364019544063,0.8692708868059411,[11.47364019544063 0.8692708868059411],60.0,False,True,5.454411400062979,15,76.74646745889785,621.942,in_progress,0.0
140,51.0,-3.431642701985524,0.12189168621165614,154.04910338141877,21.281294849677217,0.7214948143007451,[21.281294849677217 0.7214948143007451],60.0,False,True,5.518748261424709,16,76.74646745889785,622.023,in_progress,0.0
140,52.0,-3.4856857912593164,0.14686802360942308,154.3073748016205,10.09202408636635,1.2337244375719103,[10.09202408636635 1.2337244375719103],60.0,False,True,5.592456248264759,16,76.74646745889785,622.093,in_progress,0.0
140,53.0,-3.5452086601361525,0.1623004393142456,156.99647277403847,11.525186612206959,1.4386929079384017,[11.525186612206959 1.4386929079384017],80.0,False,True,5.664409779390529,16,76.74646745889785,622.161,in_progress,0.0
140,54.0,-3.6226493229412475,0.17363531554914652,161.42698745513218,-28.972388612144183,1.9313983550189602,[-28.972388612144183 1.9313983550189602],60.0,False,True,5.747896491252883,16,76.74646745889785,622.22,in_progress,0.0
140,55.0,-3.704183661442718,0.19155869868475933,163.28051879026927,-30.0,0.7,[-30.0 0.7],60.0,False,True,5.854066834256253,16,76.74646745889785,622.295,in_progress,0.0
140,56.0,-3.7724308495431806,0.22054617160135978,161.58295620099813,30.0,2.5,[30.0 2.5],60.0,False,True,5.942882373708692,17,76.74646745889785,622.353,in_progress,0.0
140,57.0,-3.8445548080385725,0.24479110818865074,162.0616990068251,12.593976781733012,1.5823476695822856,[12.593976781733012 1.5823476695822856],80.0,False,True,6.036767221779112,17,76.74646745889785,622.419,in_progress,0.0
140,58.0,-3.9369254613800284,0.2569413587926955,165.78040274688732,-19.151046939229573,2.5,[-19.151046939229573 2.5],60.0,False,True,6.055681468496722,17,76.74646745889785,622.491,in_progress,0.0
140,59.0,-4.024613017669035,0.27347546333539474,166.82046679003832,-13.226683141560237,2.237794652090555,[-13.226683141560237 2.237794652090555],60.0,False,True,6.139848496242808,17,76.74646745889785,622.564,in_progress,0.0
140,60.0,-4.138212852200625,0.3191930260517885,162.88726020666277,-30.0,0.7,[-30.0 0.7],60.0,False,True,6.2590232757570545,18,76.74646745889785,622.625,in_progress,0.0
140,61.0,-4.217119333108055,0.36309376196475956,158.32731145725904,2.240577683492873,1.6429429663852413,[2.240577683492873 1.6429429663852413],60.0,False,True,6.3364533582077565,18,76.74646745889785,622.696,in_progress,0.0
